Tree Decompositions,Times
Features_tree68-10.ml.csv,9.219
Features_tree45-3.ml.csv,5.352
Features_tree62-1.ml.csv,2.854
Features_tree50-4.ml.csv,6.909
Features_tree42-3.ml.csv,1.465
Features_tree28-5.ml.csv,7.399
Features_tree71-8.ml.csv,23.694
Features_tree48-10.ml.csv,8.245
Features_tree47-2.ml.csv,6.009
Features_tree23-4.ml.csv,5.896
Features_tree42-5.ml.csv,1.419
Features_tree24-2.ml.csv,21.286
Features_tree44-1.ml.csv,5.895
Features_tree27-8.ml.csv,4.835
Features_tree46-1.ml.csv,15.233
Features_tree80-8.ml.csv,17.825
Features_tree16-10.ml.csv,2.056
Features_tree42-7.ml.csv,1.233
Features_tree63-1.ml.csv,2.651
Features_tree14-1.ml.csv,2.815
Features_tree46-7.ml.csv,17.366
Features_tree42-1.ml.csv,1.451
Features_tree60-10.ml.csv,3.286
Features_tree16-1.ml.csv,2.079
Features_tree46-5.ml.csv,14.757
Features_tree48-2.ml.csv,7.323
Features_tree51-7.ml.csv,5.326
Features_tree42-9.ml.csv,1.256
Features_tree29-7.ml.csv,1.516
Features_tree66-5.ml.csv,0.815
Features_tree24-6.ml.csv,25.934
Features_tree63-10.ml.csv,2.61
Features_tree80-7.ml.csv,21.255
Features_tree10-8.ml.csv,2.254
Features_tree22-1.ml.csv,2.651
Features_tree58-9.ml.csv,13.611
Features_tree40-6.ml.csv,1.693
Features_tree54-6.ml.csv,7.137
Features_tree55-8.ml.csv,13.034
Features_tree51-5.ml.csv,5.93
Features_tree10-6.ml.csv,2.349
Features_tree56-4.ml.csv,5.286
Features_tree44-5.ml.csv,6.412
Features_tree15-5.ml.csv,3.547
Features_tree20-9.ml.csv,19.095
Features_tree30-9.ml.csv,4.21
Features_tree40-5.ml.csv,2.219
Features_tree27-7.ml.csv,5.763
Features_tree58-10.ml.csv,17.456
Features_tree22-5.ml.csv,2.306
Features_tree74-1.ml.csv,0.947
Features_tree28-2.ml.csv,5.865
Features_tree79-3.ml.csv,6.505
Features_tree69-5.ml.csv,23.836
Features_tree45-9.ml.csv,6.557
Features_tree26-3.ml.csv,7.337
Features_tree73-4.ml.csv,0.948
Features_tree41-7.ml.csv,1.054
